Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 2.364510 | Acc 75.00% | WER 72.22% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 2.360559 | Acc 73.33% | WER 67.06% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 1.597812 | Acc 81.67% | WER 68.27% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 1.365414 | Acc 83.33% | WER 83.33% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 3.729761 | Acc 56.67% | WER 71.88% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 2.018477 | Acc 76.67% | WER 64.17% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 1.732781 | Acc 78.33% | WER 66.07% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 1.564408 | Acc 81.67% | WER 50.83% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 1.277017 | Acc 88.33% | WER 39.23% | BLEU-4 5.00
epoch   1 | iteration  1000 | Loss 1.283770 | Acc 85.00% | WER 53.47% | BLEU-4 8.33
epoch   1 | iteration  1100 | Loss 1.470195 | Acc 83.33% | WER 55.00% | BLEU-4 0.00
epoch   1 | iteration  1200 | Loss 1.959083 | Acc 76.67% | WER 61.90% | BLEU-4 0.00
epoch   1 | iteration  1300 | Loss 0.715106 | Acc 91.67% | WER 30.00% | BLEU-4 0.00
epoch   1 | iteration  1400 | Loss 1.234234 | Acc 88.33% | WER 29.76% | BLEU-4 16.67
epoch   1 | iteration  1500 | Loss 1.047247 | Acc 88.33% | WER 46.43% | BLEU-4 0.00
epoch   1 | iteration  1600 | Loss 1.684541 | Acc 80.00% | WER 55.00% | BLEU-4 0.00
epoch   1 | iteration  1700 | Loss 1.462278 | Acc 83.33% | WER 57.50% | BLEU-4 0.00
epoch   1 | iteration  1800 | Loss 1.056051 | Acc 85.00% | WER 60.71% | BLEU-4 0.00
epoch   1 | iteration  1900 | Loss 1.135975 | Acc 85.00% | WER 40.38% | BLEU-4 5.11
epoch   1 | iteration  2000 | Loss 1.759999 | Acc 80.00% | WER 43.18% | BLEU-4 3.85
epoch   1 | iteration  2100 | Loss 1.315819 | Acc 85.00% | WER 44.32% | BLEU-4 0.00
epoch   1 | iteration  2200 | Loss 1.451302 | Acc 81.67% | WER 54.04% | BLEU-4 8.82
epoch   1 | iteration  2300 | Loss 1.310776 | Acc 81.67% | WER 65.71% | BLEU-4 0.00
epoch   1 | iteration  2400 | Loss 2.140763 | Acc 78.33% | WER 55.77% | BLEU-4 0.00
epoch   1 | iteration  2500 | Loss 1.549356 | Acc 83.33% | WER 41.67% | BLEU-4 11.11
epoch   1 | iteration  2600 | Loss 1.219524 | Acc 86.67% | WER 47.73% | BLEU-4 0.00
epoch   1 | iteration  2700 | Loss 0.828224 | Acc 90.00% | WER 30.68% | BLEU-4 10.00
epoch   1 | iteration  2800 | Loss 1.982152 | Acc 81.67% | WER 48.33% | BLEU-4 7.14
epoch   1 | iteration  2900 | Loss 1.989473 | Acc 78.33% | WER 56.67% | BLEU-4 8.46
epoch   1 | iteration  3000 | Loss 1.549607 | Acc 83.33% | WER 30.56% | BLEU-4 16.67
epoch   1 | iteration  3100 | Loss 0.954272 | Acc 90.00% | WER 32.14% | BLEU-4 44.64
epoch   1 | iteration  3200 | Loss 1.790341 | Acc 81.67% | WER 37.98% | BLEU-4 3.85
epoch   1 | iteration  3300 | Loss 1.017702 | Acc 90.00% | WER 35.06% | BLEU-4 12.50
epoch   1 | iteration  3400 | Loss 0.843978 | Acc 90.00% | WER 34.29% | BLEU-4 12.50
epoch   1 | iteration  3500 | Loss 1.029988 | Acc 88.33% | WER 36.54% | BLEU-4 5.00
epoch   1 | iteration  3600 | Loss 1.530543 | Acc 83.33% | WER 42.22% | BLEU-4 8.65
epoch   1 | iteration  3700 | Loss 1.229773 | Acc 85.00% | WER 49.40% | BLEU-4 0.00
epoch   1 | iteration  3800 | Loss 1.552213 | Acc 83.33% | WER 33.33% | BLEU-4 8.33
