Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 2.146492 | Acc 73.33% | WER 93.75% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 2.584925 | Acc 60.00% | WER 108.97% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 2.510014 | Acc 66.67% | WER 84.66% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 2.292668 | Acc 68.33% | WER 107.14% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 3.376425 | Acc 53.33% | WER 89.58% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 2.658286 | Acc 63.33% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 2.444684 | Acc 66.67% | WER 92.86% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 4.953630 | Acc 40.00% | WER 94.29% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 2.676078 | Acc 65.00% | WER 95.00% | BLEU-4 0.00
epoch   1 | iteration  1000 | Loss 1.436348 | Acc 80.00% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration  1100 | Loss 2.374991 | Acc 63.33% | WER 91.67% | BLEU-4 0.00
epoch   1 | iteration  1200 | Loss 3.017941 | Acc 61.67% | WER 85.00% | BLEU-4 0.00
epoch   1 | iteration  1300 | Loss 2.143060 | Acc 68.33% | WER 115.45% | BLEU-4 0.00
epoch   1 | iteration  1400 | Loss 1.869463 | Acc 73.33% | WER 83.33% | BLEU-4 0.00
epoch   1 | iteration  1500 | Loss 2.578034 | Acc 66.67% | WER 92.86% | BLEU-4 0.00
epoch   1 | iteration  1600 | Loss 2.900478 | Acc 58.33% | WER 88.33% | BLEU-4 0.00
epoch   1 | iteration  1700 | Loss 2.644435 | Acc 68.33% | WER 86.11% | BLEU-4 0.00
epoch   1 | iteration  1800 | Loss 3.397634 | Acc 58.33% | WER 89.12% | BLEU-4 0.00
epoch   1 | iteration  1900 | Loss 2.535143 | Acc 63.33% | WER 90.91% | BLEU-4 0.00
epoch   1 | iteration  2000 | Loss 2.125589 | Acc 70.00% | WER 95.00% | BLEU-4 0.00
epoch   1 | iteration  2100 | Loss 2.381839 | Acc 63.33% | WER 86.15% | BLEU-4 0.00
epoch   1 | iteration  2200 | Loss 2.063308 | Acc 70.00% | WER 84.44% | BLEU-4 0.00
epoch   1 | iteration  2300 | Loss 3.344193 | Acc 56.67% | WER 89.49% | BLEU-4 0.00
epoch   1 | iteration  2400 | Loss 2.105818 | Acc 66.67% | WER 81.82% | BLEU-4 0.00
