Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 4.052903 | Acc 25.00% | WER 75.00%
epoch   1 | iteration    40 | Loss 3.853074 | Acc 28.12% | WER 71.88%
epoch   1 | iteration    60 | Loss 3.810294 | Acc 25.00% | WER 75.00%
epoch   1 | iteration    80 | Loss 3.277157 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   100 | Loss 3.775791 | Acc 18.75% | WER 81.25%
epoch   1 | iteration   120 | Loss 3.331478 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   140 | Loss 3.923432 | Acc 28.12% | WER 71.88%
epoch   1 | iteration   160 | Loss 3.679421 | Acc 21.88% | WER 78.12%
epoch   1 | iteration   180 | Loss 3.701039 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   200 | Loss 3.618436 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   220 | Loss 4.012451 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   240 | Loss 4.721445 | Acc 18.75% | WER 81.25%
epoch   1 | iteration   260 | Loss 3.572818 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   280 | Loss 3.842338 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   300 | Loss 3.600485 | Acc 21.88% | WER 78.12%
epoch   1 | iteration   320 | Loss 4.067466 | Acc 15.62% | WER 84.38%
epoch   1 | iteration   340 | Loss 3.124731 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   360 | Loss 3.894823 | Acc 28.12% | WER 71.88%
epoch   1 | iteration   380 | Loss 3.828904 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   400 | Loss 3.800096 | Acc 28.12% | WER 71.88%
epoch   1 | iteration   420 | Loss 3.857905 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   440 | Loss 4.144963 | Acc 18.75% | WER 81.25%
epoch   1 | iteration   460 | Loss 4.038054 | Acc 31.25% | WER 68.75%
epoch   1 | iteration   480 | Loss 3.783509 | Acc 28.12% | WER 71.88%
epoch   1 | iteration   500 | Loss 4.023890 | Acc 21.88% | WER 78.12%
epoch   1 | iteration   520 | Loss 4.071669 | Acc 18.75% | WER 81.25%
epoch   1 | iteration   540 | Loss 3.984996 | Acc 28.12% | WER 71.88%
epoch   1 | iteration   560 | Loss 3.307713 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   580 | Loss 4.114401 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   600 | Loss 4.127819 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   620 | Loss 4.025686 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   640 | Loss 3.727520 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   660 | Loss 3.825452 | Acc 25.00% | WER 75.00%
epoch   1 | iteration   680 | Loss 3.779545 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   700 | Loss 4.089355 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   720 | Loss 3.880658 | Acc 21.88% | WER 78.12%
