Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 8.624711 | Acc 0.00% | WER 336.38% | BLEU-4 0.00
epoch   1 | iteration    40 | Loss 7.503286 | Acc 59.79% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration    60 | Loss 6.082307 | Acc 59.58% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration    80 | Loss 4.539657 | Acc 60.21% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   100 | Loss 4.203562 | Acc 61.67% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   120 | Loss 4.716151 | Acc 60.62% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   140 | Loss 4.392397 | Acc 61.46% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   160 | Loss 3.763642 | Acc 63.12% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   180 | Loss 4.138374 | Acc 62.08% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 4.331591 | Acc 57.29% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   220 | Loss 3.163804 | Acc 67.92% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   240 | Loss 4.038656 | Acc 59.17% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   260 | Loss 3.597511 | Acc 61.88% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   280 | Loss 3.719022 | Acc 60.21% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 3.697002 | Acc 59.58% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   320 | Loss 3.343211 | Acc 63.96% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   340 | Loss 3.065915 | Acc 65.83% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   360 | Loss 3.064294 | Acc 65.83% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   380 | Loss 2.855347 | Acc 67.71% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 3.064139 | Acc 63.75% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   420 | Loss 3.306969 | Acc 61.88% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   440 | Loss 3.176166 | Acc 61.67% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   460 | Loss 3.250412 | Acc 60.00% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   480 | Loss 2.941649 | Acc 63.12% | WER 100.00% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 2.705127 | Acc 65.83% | WER 98.51% | BLEU-4 0.00
epoch   1 | iteration   520 | Loss 3.214330 | Acc 57.50% | WER 91.35% | BLEU-4 0.00
epoch   1 | iteration   540 | Loss 3.186088 | Acc 57.29% | WER 90.18% | BLEU-4 0.00
epoch   1 | iteration   560 | Loss 3.064529 | Acc 58.33% | WER 90.36% | BLEU-4 0.00
epoch   1 | iteration   580 | Loss 2.936869 | Acc 58.75% | WER 88.53% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 2.646239 | Acc 63.54% | WER 85.50% | BLEU-4 0.00
epoch   1 | iteration   620 | Loss 2.486333 | Acc 66.88% | WER 90.29% | BLEU-4 0.00
epoch   1 | iteration   640 | Loss 2.303368 | Acc 69.38% | WER 89.79% | BLEU-4 0.00
epoch   1 | iteration   660 | Loss 2.589512 | Acc 64.17% | WER 91.71% | BLEU-4 0.00
epoch   1 | iteration   680 | Loss 2.427385 | Acc 68.75% | WER 90.36% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 2.652149 | Acc 65.00% | WER 89.49% | BLEU-4 0.00
epoch   1 | iteration   720 | Loss 1.977116 | Acc 75.00% | WER 86.52% | BLEU-4 0.00
epoch   1 | iteration   740 | Loss 2.845096 | Acc 63.12% | WER 96.66% | BLEU-4 0.00
epoch   1 | iteration   760 | Loss 2.654579 | Acc 68.12% | WER 89.83% | BLEU-4 0.00
epoch   1 | iteration   780 | Loss 2.460397 | Acc 68.12% | WER 89.00% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 2.532753 | Acc 67.71% | WER 87.56% | BLEU-4 0.00
epoch   1 | iteration   820 | Loss 2.541145 | Acc 68.33% | WER 93.15% | BLEU-4 0.00
epoch   1 | iteration   840 | Loss 2.506028 | Acc 67.71% | WER 90.85% | BLEU-4 0.00
epoch   1 | iteration   860 | Loss 2.759949 | Acc 64.38% | WER 89.75% | BLEU-4 0.00
epoch   1 | iteration   880 | Loss 2.899566 | Acc 63.12% | WER 88.59% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 1.990043 | Acc 74.17% | WER 88.06% | BLEU-4 0.00
