Logging to file...
Dataset samples: 18601
######################Training Started######################
epoch   1 | iteration    20 | Loss 15.435265 | WER 100.00%
epoch   1 | iteration    40 | Loss 7.963937 | WER 100.00%
epoch   1 | iteration    60 | Loss 6.015289 | WER 100.00%
epoch   1 | iteration    80 | Loss 8.930176 | WER 100.00%
epoch   1 | iteration   100 | Loss 6.053305 | WER 100.00%
epoch   1 | iteration   120 | Loss 5.348012 | WER 100.00%
epoch   1 | iteration   140 | Loss 7.595882 | WER 100.00%
epoch   1 | iteration   160 | Loss 5.923157 | WER 100.00%
epoch   1 | iteration   180 | Loss 6.525821 | WER 100.00%
epoch   1 | iteration   200 | Loss 5.761934 | WER 100.00%
epoch   1 | iteration   220 | Loss 6.056054 | WER 100.00%
epoch   1 | iteration   240 | Loss 3.619141 | WER 100.00%
epoch   1 | iteration   260 | Loss 6.652442 | WER 100.00%
epoch   1 | iteration   280 | Loss 4.463750 | WER 100.00%
epoch   1 | iteration   300 | Loss 6.345858 | WER 100.00%
epoch   1 | iteration   320 | Loss 5.703788 | WER 100.00%
epoch   1 | iteration   340 | Loss 5.484227 | WER 100.00%
epoch   1 | iteration   360 | Loss 6.111169 | WER 100.00%
epoch   1 | iteration   380 | Loss 5.407989 | WER 100.00%
epoch   1 | iteration   400 | Loss 6.089096 | WER 100.00%
epoch   1 | iteration   420 | Loss 5.931687 | WER 100.00%
epoch   1 | iteration   440 | Loss 6.485272 | WER 100.00%
epoch   1 | iteration   460 | Loss 6.167786 | WER 100.00%
epoch   1 | iteration   480 | Loss 6.069906 | WER 100.00%
epoch   1 | iteration   500 | Loss 4.873498 | WER 100.00%
epoch   1 | iteration   520 | Loss 5.334852 | WER 100.00%
epoch   1 | iteration   540 | Loss 6.011878 | WER 100.00%
epoch   1 | iteration   560 | Loss 5.728441 | WER 100.00%
epoch   1 | iteration   580 | Loss 6.403452 | WER 100.00%
epoch   1 | iteration   600 | Loss 5.234747 | WER 100.00%
epoch   1 | iteration   620 | Loss 6.408759 | WER 100.00%
epoch   1 | iteration   640 | Loss 5.269314 | WER 100.00%
epoch   1 | iteration   660 | Loss 6.951828 | WER 100.00%
epoch   1 | iteration   680 | Loss 5.255111 | WER 100.00%
epoch   1 | iteration   700 | Loss 6.186416 | WER 100.00%
epoch   1 | iteration   720 | Loss 5.551305 | WER 100.00%
epoch   1 | iteration   740 | Loss 5.430442 | WER 100.00%
epoch   1 | iteration   760 | Loss 5.014314 | WER 100.00%
epoch   1 | iteration   780 | Loss 6.228639 | WER 100.00%
epoch   1 | iteration   800 | Loss 6.495718 | WER 100.00%
epoch   1 | iteration   820 | Loss 4.599248 | WER 100.00%
epoch   1 | iteration   840 | Loss 6.128750 | WER 100.00%
epoch   1 | iteration   860 | Loss 5.627521 | WER 100.00%
epoch   1 | iteration   880 | Loss 5.785572 | WER 100.00%
epoch   1 | iteration   900 | Loss 6.347918 | WER 100.00%
epoch   1 | iteration   920 | Loss 6.606020 | WER 100.00%
epoch   1 | iteration   940 | Loss 6.123631 | WER 100.00%
epoch   1 | iteration   960 | Loss 5.872670 | WER 100.00%
epoch   1 | iteration   980 | Loss 6.723001 | WER 100.00%
epoch   1 | iteration  1000 | Loss 5.513981 | WER 100.00%
epoch   1 | iteration  1020 | Loss 6.099495 | WER 100.00%
epoch   1 | iteration  1040 | Loss 5.200159 | WER 100.00%
epoch   1 | iteration  1060 | Loss 6.244949 | WER 100.00%
epoch   1 | iteration  1080 | Loss 5.030573 | WER 100.00%
epoch   1 | iteration  1100 | Loss 5.189329 | WER 100.00%
epoch   1 | iteration  1120 | Loss 6.131748 | WER 100.00%
epoch   1 | iteration  1140 | Loss 5.784715 | WER 100.00%
epoch   1 | iteration  1160 | Loss 5.479353 | WER 100.00%
epoch   1 | iteration  1180 | Loss 5.364252 | WER 100.00%
epoch   1 | iteration  1200 | Loss 5.596542 | WER 100.00%
epoch   1 | iteration  1220 | Loss 5.947759 | WER 100.00%
epoch   1 | iteration  1240 | Loss 6.638528 | WER 100.00%
epoch   1 | iteration  1260 | Loss 6.131328 | WER 100.00%
epoch   1 | iteration  1280 | Loss 6.185716 | WER 100.00%
epoch   1 | iteration  1300 | Loss 4.992441 | WER 100.00%
epoch   1 | iteration  1320 | Loss 5.268807 | WER 100.00%
epoch   1 | iteration  1340 | Loss 6.346961 | WER 100.00%
epoch   1 | iteration  1360 | Loss 6.058662 | WER 100.00%
epoch   1 | iteration  1380 | Loss 17.824200 | WER 100.00%
epoch   1 | iteration  1400 | Loss 6.086796 | WER 100.00%
epoch   1 | iteration  1420 | Loss 6.566972 | WER 100.00%
epoch   1 | iteration  1440 | Loss 6.048217 | WER 100.00%
