Logging to file...
Dataset samples: 18800
######################Training Started######################
epoch   1 | iteration    40 | Loss 2.721896 | Acc 65.21% | WER 89.97%
epoch   1 | iteration    80 | Loss 2.318930 | Acc 67.71% | WER 91.90%
epoch   1 | iteration   120 | Loss 2.529625 | Acc 66.04% | WER 90.30%
epoch   1 | iteration   160 | Loss 2.257592 | Acc 69.17% | WER 91.51%
epoch   1 | iteration   200 | Loss 2.186074 | Acc 71.46% | WER 83.61%
epoch   1 | iteration   240 | Loss 2.406773 | Acc 66.25% | WER 90.08%
epoch   1 | iteration   280 | Loss 2.241948 | Acc 68.54% | WER 91.81%
epoch   1 | iteration   320 | Loss 2.212323 | Acc 71.04% | WER 85.82%
epoch   1 | iteration   360 | Loss 1.955607 | Acc 73.75% | WER 87.60%
epoch   1 | iteration   400 | Loss 2.285693 | Acc 68.54% | WER 86.91%
epoch   1 | iteration   440 | Loss 1.992189 | Acc 73.54% | WER 82.67%
epoch   1 | iteration   480 | Loss 2.482647 | Acc 67.29% | WER 88.29%
epoch   1 | iteration   520 | Loss 2.531140 | Acc 66.04% | WER 87.60%
epoch   1 | iteration   560 | Loss 2.123969 | Acc 69.38% | WER 89.46%
epoch   1 | iteration   600 | Loss 2.155444 | Acc 72.08% | WER 86.89%
epoch   1 | iteration   640 | Loss 2.137930 | Acc 70.21% | WER 85.44%
epoch   1 | iteration   680 | Loss 2.047907 | Acc 69.79% | WER 88.10%
epoch   1 | iteration   720 | Loss 2.226550 | Acc 69.79% | WER 86.61%
epoch   1 | iteration   760 | Loss 2.238101 | Acc 72.08% | WER 83.77%
epoch   1 | iteration   800 | Loss 1.765355 | Acc 74.79% | WER 88.90%
epoch   1 | iteration   840 | Loss 1.927136 | Acc 72.50% | WER 83.90%
epoch   1 | iteration   880 | Loss 2.460739 | Acc 65.83% | WER 86.51%
epoch   1 | iteration   920 | Loss 2.087744 | Acc 71.04% | WER 85.54%
epoch   1 | iteration   960 | Loss 2.048801 | Acc 70.21% | WER 88.41%
epoch   1 | iteration  1000 | Loss 2.699856 | Acc 62.71% | WER 89.02%
epoch   1 | iteration  1040 | Loss 2.167249 | Acc 70.42% | WER 83.56%
epoch   1 | iteration  1080 | Loss 1.962612 | Acc 73.75% | WER 80.38%
epoch   1 | iteration  1120 | Loss 2.277770 | Acc 69.58% | WER 84.58%
Average Training Loss of Epoch 1: 2.272229 | Acc: 69.19% | WER 87.62%
Average Validation Loss of Epoch 1: 4.520416 | Acc: 42.77% | WER: 173.35% | BLEU-4: 0.00
Average test Loss of Epoch 1: 4.160740 | Acc: 46.42% | WER: 155.98% | BLEU-4: 0.00
####################Epoch 1 Model Saved#####################
epoch   2 | iteration    40 | Loss 1.578009 | Acc 77.50% | WER 86.27%
epoch   2 | iteration    80 | Loss 2.205878 | Acc 68.54% | WER 83.87%
epoch   2 | iteration   120 | Loss 2.198450 | Acc 69.38% | WER 87.94%
epoch   2 | iteration   160 | Loss 1.916630 | Acc 72.29% | WER 83.70%
