Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 8.779556 | Acc 2.50% | WER 223.06%
epoch   1 | iteration   200 | Loss 6.880066 | Acc 3.33% | WER 108.08%
epoch   1 | iteration   300 | Loss 6.224330 | Acc 3.33% | WER 103.56%
epoch   1 | iteration   400 | Loss 6.622866 | Acc 5.83% | WER 119.01%
epoch   1 | iteration   500 | Loss 5.847451 | Acc 5.83% | WER 155.38%
epoch   1 | iteration   600 | Loss 6.336819 | Acc 5.00% | WER 199.58%
epoch   1 | iteration   700 | Loss 5.410207 | Acc 4.17% | WER 205.11%
epoch   1 | iteration   800 | Loss 5.612742 | Acc 7.50% | WER 141.83%
epoch   1 | iteration   900 | Loss 5.370522 | Acc 6.67% | WER 240.62%
epoch   1 | iteration  1000 | Loss 6.100293 | Acc 5.83% | WER 219.66%
epoch   1 | iteration  1100 | Loss 6.071687 | Acc 4.17% | WER 166.25%
epoch   1 | iteration  1200 | Loss 6.188817 | Acc 6.67% | WER 152.86%
epoch   1 | iteration  1300 | Loss 5.523413 | Acc 8.33% | WER 138.50%
epoch   1 | iteration  1400 | Loss 6.311224 | Acc 4.17% | WER 167.58%
epoch   1 | iteration  1500 | Loss 5.997145 | Acc 7.50% | WER 205.68%
epoch   1 | iteration  1600 | Loss 6.258343 | Acc 6.67% | WER 246.68%
epoch   1 | iteration  1700 | Loss 5.824230 | Acc 4.17% | WER 201.18%
epoch   1 | iteration  1800 | Loss 5.834655 | Acc 8.33% | WER 151.30%
epoch   1 | iteration  1900 | Loss 6.427583 | Acc 5.00% | WER 158.33%
epoch   1 | iteration  2000 | Loss 5.669055 | Acc 5.83% | WER 170.33%
epoch   1 | iteration  2100 | Loss 5.496915 | Acc 8.33% | WER 219.29%
epoch   1 | iteration  2200 | Loss 6.197176 | Acc 5.83% | WER 238.13%
epoch   1 | iteration  2300 | Loss 5.981112 | Acc 5.83% | WER 163.18%
epoch   1 | iteration  2400 | Loss 5.937888 | Acc 6.67% | WER 157.45%
epoch   1 | iteration  2500 | Loss 6.000732 | Acc 5.00% | WER 231.25%
epoch   1 | iteration  2600 | Loss 5.726777 | Acc 5.83% | WER 161.56%
epoch   1 | iteration  2700 | Loss 6.039149 | Acc 2.50% | WER 212.25%
epoch   1 | iteration  2800 | Loss 6.452157 | Acc 6.67% | WER 164.64%
epoch   1 | iteration  2900 | Loss 5.787023 | Acc 8.33% | WER 141.62%
epoch   1 | iteration  3000 | Loss 6.355813 | Acc 1.67% | WER 272.22%
epoch   1 | iteration  3100 | Loss 6.105178 | Acc 7.50% | WER 214.93%
epoch   1 | iteration  3200 | Loss 5.534177 | Acc 6.67% | WER 203.62%
epoch   1 | iteration  3300 | Loss 6.196259 | Acc 7.50% | WER 173.89%
epoch   1 | iteration  3400 | Loss 5.680930 | Acc 7.50% | WER 163.13%
epoch   1 | iteration  3500 | Loss 6.243233 | Acc 7.50% | WER 126.96%
epoch   1 | iteration  3600 | Loss 6.611900 | Acc 7.50% | WER 145.05%
epoch   1 | iteration  3700 | Loss 6.054008 | Acc 5.83% | WER 178.88%
epoch   1 | iteration  3800 | Loss 5.686306 | Acc 7.50% | WER 207.59%
epoch   1 | iteration  3900 | Loss 5.633328 | Acc 5.00% | WER 212.22%
epoch   1 | iteration  4000 | Loss 5.602787 | Acc 8.33% | WER 232.78%
epoch   1 | iteration  4100 | Loss 6.148491 | Acc 8.33% | WER 167.85%
epoch   1 | iteration  4200 | Loss 5.723307 | Acc 3.33% | WER 208.95%
epoch   1 | iteration  4300 | Loss 5.779536 | Acc 5.83% | WER 153.45%
epoch   1 | iteration  4400 | Loss 5.524019 | Acc 6.67% | WER 143.89%
epoch   1 | iteration  4500 | Loss 5.702007 | Acc 4.17% | WER 212.30%
epoch   1 | iteration  4600 | Loss 5.624298 | Acc 10.83% | WER 167.34%
Average Training Loss of Epoch 1: 6.119256 | Acc: 5.91% | WER 189.70%
Average Validation Loss of Epoch 1: 4.986609 | Acc: 3.54% | WER: 106.86%
Average test Loss of Epoch 1: 6.406109 | Acc: 4.52% | WER: 132.21%
####################Epoch 1 Model Saved#####################
epoch   2 | iteration   100 | Loss 5.284168 | Acc 6.67% | WER 145.04%
epoch   2 | iteration   200 | Loss 5.930179 | Acc 5.83% | WER 197.52%
epoch   2 | iteration   300 | Loss 5.853987 | Acc 5.00% | WER 184.89%
epoch   2 | iteration   400 | Loss 6.354930 | Acc 8.33% | WER 148.33%
epoch   2 | iteration   500 | Loss 5.983580 | Acc 8.33% | WER 158.62%
epoch   2 | iteration   600 | Loss 6.095494 | Acc 5.83% | WER 192.22%
epoch   2 | iteration   700 | Loss 5.878109 | Acc 4.17% | WER 166.07%
epoch   2 | iteration   800 | Loss 5.072195 | Acc 9.17% | WER 156.94%
epoch   2 | iteration   900 | Loss 6.195312 | Acc 4.17% | WER 150.33%
epoch   2 | iteration  1000 | Loss 5.773489 | Acc 7.50% | WER 195.65%
epoch   2 | iteration  1100 | Loss 6.280084 | Acc 10.00% | WER 181.54%
epoch   2 | iteration  1200 | Loss 5.329423 | Acc 6.67% | WER 171.31%
epoch   2 | iteration  1300 | Loss 5.571167 | Acc 5.83% | WER 132.69%
epoch   2 | iteration  1400 | Loss 5.344418 | Acc 5.83% | WER 178.33%
epoch   2 | iteration  1500 | Loss 5.981773 | Acc 3.33% | WER 180.38%
epoch   2 | iteration  1600 | Loss 5.764127 | Acc 3.33% | WER 184.58%
epoch   2 | iteration  1700 | Loss 5.782461 | Acc 6.67% | WER 176.97%
epoch   2 | iteration  1800 | Loss 6.207139 | Acc 9.17% | WER 194.80%
epoch   2 | iteration  1900 | Loss 5.717941 | Acc 4.17% | WER 214.46%
epoch   2 | iteration  2000 | Loss 5.439156 | Acc 5.83% | WER 159.79%
epoch   2 | iteration  2100 | Loss 6.713318 | Acc 4.17% | WER 188.24%
epoch   2 | iteration  2200 | Loss 6.219036 | Acc 4.17% | WER 200.56%
epoch   2 | iteration  2300 | Loss 5.246448 | Acc 5.83% | WER 200.42%
epoch   2 | iteration  2400 | Loss 6.347175 | Acc 7.50% | WER 211.46%
epoch   2 | iteration  2500 | Loss 5.485635 | Acc 5.00% | WER 225.28%
epoch   2 | iteration  2600 | Loss 4.949128 | Acc 3.33% | WER 202.28%
epoch   2 | iteration  2700 | Loss 5.474497 | Acc 9.17% | WER 146.79%
epoch   2 | iteration  2800 | Loss 6.570755 | Acc 7.50% | WER 145.54%
