Logging to file...
Dataset samples: 125000
######################Training Started######################
epoch   1 | iteration    20 | Loss 6.199777 | Acc 0.00%
epoch   1 | iteration    40 | Loss 6.169970 | Acc 0.00%
epoch   1 | iteration    60 | Loss 6.179643 | Acc 0.00%
epoch   1 | iteration    80 | Loss 6.089602 | Acc 1.56%
epoch   1 | iteration   100 | Loss 5.969985 | Acc 1.56%
epoch   1 | iteration   120 | Loss 5.780043 | Acc 0.00%
epoch   1 | iteration   140 | Loss 5.682872 | Acc 3.12%
epoch   1 | iteration   160 | Loss 5.353834 | Acc 9.38%
epoch   1 | iteration   180 | Loss 5.291043 | Acc 3.12%
epoch   1 | iteration   200 | Loss 5.038018 | Acc 7.81%
epoch   1 | iteration   220 | Loss 5.014803 | Acc 9.38%
epoch   1 | iteration   240 | Loss 4.675842 | Acc 14.06%
epoch   1 | iteration   260 | Loss 4.614584 | Acc 9.38%
epoch   1 | iteration   280 | Loss 4.631804 | Acc 10.94%
epoch   1 | iteration   300 | Loss 4.443301 | Acc 15.62%
epoch   1 | iteration   320 | Loss 4.208179 | Acc 14.06%
epoch   1 | iteration   340 | Loss 3.929452 | Acc 23.44%
epoch   1 | iteration   360 | Loss 4.019667 | Acc 23.44%
epoch   1 | iteration   380 | Loss 3.806964 | Acc 21.88%
epoch   1 | iteration   400 | Loss 3.873070 | Acc 25.00%
epoch   1 | iteration   420 | Loss 3.914987 | Acc 17.19%
epoch   1 | iteration   440 | Loss 3.448690 | Acc 37.50%
epoch   1 | iteration   460 | Loss 3.213425 | Acc 35.94%
epoch   1 | iteration   480 | Loss 3.092661 | Acc 46.88%
epoch   1 | iteration   500 | Loss 3.301945 | Acc 34.38%
epoch   1 | iteration   520 | Loss 3.275555 | Acc 37.50%
epoch   1 | iteration   540 | Loss 3.006826 | Acc 42.19%
epoch   1 | iteration   560 | Loss 2.985131 | Acc 45.31%
epoch   1 | iteration   580 | Loss 2.802115 | Acc 46.88%
epoch   1 | iteration   600 | Loss 2.590296 | Acc 59.38%
epoch   1 | iteration   620 | Loss 2.557895 | Acc 51.56%
epoch   1 | iteration   640 | Loss 2.785530 | Acc 54.69%
epoch   1 | iteration   660 | Loss 2.841209 | Acc 35.94%
epoch   1 | iteration   680 | Loss 2.500475 | Acc 50.00%
epoch   1 | iteration   700 | Loss 2.249211 | Acc 62.50%
epoch   1 | iteration   720 | Loss 2.378122 | Acc 51.56%
epoch   1 | iteration   740 | Loss 2.290884 | Acc 53.12%
epoch   1 | iteration   760 | Loss 2.069272 | Acc 59.38%
epoch   1 | iteration   780 | Loss 2.378257 | Acc 48.44%
epoch   1 | iteration   800 | Loss 2.101732 | Acc 60.94%
epoch   1 | iteration   820 | Loss 2.121388 | Acc 60.94%
epoch   1 | iteration   840 | Loss 2.014847 | Acc 67.19%
epoch   1 | iteration   860 | Loss 1.999725 | Acc 62.50%
epoch   1 | iteration   880 | Loss 2.346572 | Acc 56.25%
epoch   1 | iteration   900 | Loss 1.811248 | Acc 71.88%
epoch   1 | iteration   920 | Loss 1.816920 | Acc 64.06%
epoch   1 | iteration   940 | Loss 1.717517 | Acc 73.44%
epoch   1 | iteration   960 | Loss 1.894329 | Acc 64.06%
epoch   1 | iteration   980 | Loss 1.713787 | Acc 60.94%
epoch   1 | iteration  1000 | Loss 1.534576 | Acc 67.19%
epoch   1 | iteration  1020 | Loss 1.745217 | Acc 64.06%
epoch   1 | iteration  1040 | Loss 1.777729 | Acc 57.81%
epoch   1 | iteration  1060 | Loss 1.660099 | Acc 68.75%
epoch   1 | iteration  1080 | Loss 1.581871 | Acc 76.56%
epoch   1 | iteration  1100 | Loss 1.714617 | Acc 67.19%
epoch   1 | iteration  1120 | Loss 1.345699 | Acc 76.56%
epoch   1 | iteration  1140 | Loss 1.630976 | Acc 64.06%
epoch   1 | iteration  1160 | Loss 1.624169 | Acc 65.62%
epoch   1 | iteration  1180 | Loss 1.512488 | Acc 73.44%
epoch   1 | iteration  1200 | Loss 1.611417 | Acc 73.44%
epoch   1 | iteration  1220 | Loss 1.385427 | Acc 73.44%
epoch   1 | iteration  1240 | Loss 1.400130 | Acc 70.31%
epoch   1 | iteration  1260 | Loss 1.345641 | Acc 75.00%
epoch   1 | iteration  1280 | Loss 1.369054 | Acc 64.06%
epoch   1 | iteration  1300 | Loss 1.165751 | Acc 78.12%
epoch   1 | iteration  1320 | Loss 1.365463 | Acc 68.75%
epoch   1 | iteration  1340 | Loss 1.472836 | Acc 70.31%
epoch   1 | iteration  1360 | Loss 1.199257 | Acc 75.00%
epoch   1 | iteration  1380 | Loss 1.208200 | Acc 78.12%
epoch   1 | iteration  1400 | Loss 1.090949 | Acc 79.69%
epoch   1 | iteration  1420 | Loss 1.179248 | Acc 71.88%
epoch   1 | iteration  1440 | Loss 1.101305 | Acc 79.69%
epoch   1 | iteration  1460 | Loss 1.240497 | Acc 71.88%
epoch   1 | iteration  1480 | Loss 1.060701 | Acc 78.12%
epoch   1 | iteration  1500 | Loss 0.828157 | Acc 89.06%
epoch   1 | iteration  1520 | Loss 1.159229 | Acc 75.00%
epoch   1 | iteration  1540 | Loss 0.924805 | Acc 81.25%
epoch   1 | iteration  1560 | Loss 1.078543 | Acc 82.81%
Average Training Loss of Epoch 1: 2.761606 | Acc: 49.08%
Average Validation Loss of Epoch 1: 1.659337 | Acc: 62.03%
####################Epoch 1 Model Saved#####################
epoch   2 | iteration    20 | Loss 1.189389 | Acc 71.88%
epoch   2 | iteration    40 | Loss 1.033897 | Acc 75.00%
epoch   2 | iteration    60 | Loss 0.803434 | Acc 89.06%
epoch   2 | iteration    80 | Loss 1.207038 | Acc 76.56%
epoch   2 | iteration   100 | Loss 0.792319 | Acc 90.62%
epoch   2 | iteration   120 | Loss 0.974516 | Acc 76.56%
epoch   2 | iteration   140 | Loss 0.930907 | Acc 84.38%
epoch   2 | iteration   160 | Loss 0.754090 | Acc 92.19%
epoch   2 | iteration   180 | Loss 0.954468 | Acc 81.25%
epoch   2 | iteration   200 | Loss 0.873445 | Acc 82.81%
epoch   2 | iteration   220 | Loss 0.889672 | Acc 78.12%
