Logging to file...
Dataset samples: 24900
######################Training Started######################
epoch   1 | iteration    20 | Loss 4.603889 | Acc 0.00%
epoch   1 | iteration    40 | Loss 4.609227 | Acc 0.00%
epoch   1 | iteration    60 | Loss 4.571990 | Acc 0.00%
epoch   1 | iteration    80 | Loss 4.474687 | Acc 6.25%
epoch   1 | iteration   100 | Loss 4.465764 | Acc 3.12%
epoch   1 | iteration   120 | Loss 4.348498 | Acc 6.25%
epoch   1 | iteration   140 | Loss 4.159147 | Acc 9.38%
epoch   1 | iteration   160 | Loss 4.053162 | Acc 6.25%
epoch   1 | iteration   180 | Loss 3.819845 | Acc 0.00%
epoch   1 | iteration   200 | Loss 3.676013 | Acc 6.25%
epoch   1 | iteration   220 | Loss 3.540462 | Acc 6.25%
epoch   1 | iteration   240 | Loss 3.495492 | Acc 12.50%
epoch   1 | iteration   260 | Loss 3.453691 | Acc 12.50%
epoch   1 | iteration   280 | Loss 3.405374 | Acc 12.50%
epoch   1 | iteration   300 | Loss 3.277095 | Acc 25.00%
epoch   1 | iteration   320 | Loss 3.012281 | Acc 21.88%
epoch   1 | iteration   340 | Loss 3.084074 | Acc 21.88%
epoch   1 | iteration   360 | Loss 3.168261 | Acc 18.75%
epoch   1 | iteration   380 | Loss 2.919363 | Acc 31.25%
epoch   1 | iteration   400 | Loss 2.979722 | Acc 18.75%
epoch   1 | iteration   420 | Loss 2.866081 | Acc 21.88%
epoch   1 | iteration   440 | Loss 2.748080 | Acc 46.88%
epoch   1 | iteration   460 | Loss 2.795005 | Acc 9.38%
epoch   1 | iteration   480 | Loss 2.854477 | Acc 21.88%
epoch   1 | iteration   500 | Loss 2.627400 | Acc 31.25%
epoch   1 | iteration   520 | Loss 2.521697 | Acc 25.00%
epoch   1 | iteration   540 | Loss 3.055931 | Acc 25.00%
epoch   1 | iteration   560 | Loss 2.532205 | Acc 25.00%
epoch   1 | iteration   580 | Loss 2.261864 | Acc 40.62%
Average Training Loss of Epoch 1: 3.452043 | Acc: 15.54%
Average Validation Loss of Epoch 1: 2.644809 | Acc: 29.11%
Average test Loss of Epoch 1: 2.626275 | Acc: 29.60%
####################Epoch 1 Model Saved#####################
epoch   2 | iteration    20 | Loss 2.650317 | Acc 25.00%
epoch   2 | iteration    40 | Loss 2.389173 | Acc 50.00%
epoch   2 | iteration    60 | Loss 2.229584 | Acc 50.00%
epoch   2 | iteration    80 | Loss 2.540851 | Acc 28.12%
epoch   2 | iteration   100 | Loss 2.297465 | Acc 34.38%
epoch   2 | iteration   120 | Loss 2.429288 | Acc 28.12%
epoch   2 | iteration   140 | Loss 2.279876 | Acc 43.75%
epoch   2 | iteration   160 | Loss 2.248173 | Acc 43.75%
epoch   2 | iteration   180 | Loss 2.244764 | Acc 34.38%
epoch   2 | iteration   200 | Loss 2.201660 | Acc 46.88%
epoch   2 | iteration   220 | Loss 2.089031 | Acc 50.00%
epoch   2 | iteration   240 | Loss 2.040367 | Acc 53.12%
epoch   2 | iteration   260 | Loss 2.055050 | Acc 43.75%
epoch   2 | iteration   280 | Loss 2.136775 | Acc 43.75%
epoch   2 | iteration   300 | Loss 2.007062 | Acc 50.00%
epoch   2 | iteration   320 | Loss 1.865363 | Acc 56.25%
epoch   2 | iteration   340 | Loss 1.875656 | Acc 50.00%
epoch   2 | iteration   360 | Loss 2.094540 | Acc 34.38%
epoch   2 | iteration   380 | Loss 2.141992 | Acc 43.75%
epoch   2 | iteration   400 | Loss 2.167215 | Acc 40.62%
epoch   2 | iteration   420 | Loss 2.062018 | Acc 40.62%
epoch   2 | iteration   440 | Loss 1.858172 | Acc 46.88%
epoch   2 | iteration   460 | Loss 1.835323 | Acc 50.00%
epoch   2 | iteration   480 | Loss 1.829663 | Acc 50.00%
epoch   2 | iteration   500 | Loss 2.137109 | Acc 37.50%
epoch   2 | iteration   520 | Loss 1.923574 | Acc 53.12%
epoch   2 | iteration   540 | Loss 1.566087 | Acc 65.62%
epoch   2 | iteration   560 | Loss 1.869115 | Acc 46.88%
epoch   2 | iteration   580 | Loss 1.479201 | Acc 65.62%
